2179	2502
2920	2501
1550	2500
2965	2509
2966	2508
396	2507
1713	2506
1714	2505
724	2515
2968	2514
870	2513
2209	2512
2207	2511
2208	2510
2971	2519
1715	2518
1556	2517
2972	2516
314	2526
1559	2525
2978	2524
696	2523
697	2522
2210	2521
2970	2520
783	2529
1375	2528
2975	2527
2219	2540
729	1206
2982	2537
204	1205
2981	2536
1486	2535
2391	1204
1719	2534
2392	1203
1720	2533
2393	1202
1716	2532
1489	1201
871	2531
1814	1200
2216	2530
1817	1209
2985	2539
1815	1208
1717	2538
912	1207
119	1220
3045	2551
2251	2550
1959	2548
2449	1217
2988	2547
2401	1216
2987	2546
1142	1215
1560	2545
1143	1214
1558	1213
2986	2544
2221	2543
2399	1212
720	1211
872	2542
377	2541
1139	1210
1842	1219
3044	2549
2450	1218
1380	2562
2463	1231
979	1230
1967	2561
683	2560
1750	2559
2458	1228
2253	2558
1575	1227
1462	1226
2252	2557
1748	2556
2457	1225
452	1224
1747	2555
1472	1223
276	2554
3043	2553
1061	1222
734	2552
1844	1221
2456	1229
2265	2573
1853	1242
491	1241
684	2572
2259	2571
2465	1240
369	2570
1848	1239
1502	2569
1849	1238
1527	1237
2258	2568
228	2567
2467	1236
3057	2566
1845	1235
659	1234
3055	2565
3053	2564
2460	1233
292	1232
3054	2563
1292	2584
1166	1253
1751	2583
966	1252
93	1251
1752	2582
753	1250
989	2581
3068	2580
807	1249
776	1248
2271	2579
3058	2578
808	1247
2266	2577
809	1246
3064	2576
810	1245
1114	2575
811	1244
2264	2574
812	1243
802	2595
2482	1264
140	1263
1119	2594
67	1262
1120	2593
640	2592
2476	1261
244	2591
236	1260
3070	2590
1435	1259
2272	2589
2479	1258
81	1257
785	2588
3069	2587
2480	1256
321	1255
3075	2586
3076	2585
1165	1254
1580	1275
2487	1274
268	1273
2484	1272
2485	1271
1246	1270
429	1269
177	2599
638	1268
1133	2598
639	1267
1294	2597
1858	1266
801	2596
702	1265
1064	1286
1586	1285
493	1284
620	1283
1587	1282
1588	1281
1583	1280
1582	1279
171	1278
2559	1277
208	1276
1999	1297
1900	1296
2577	1295
2578	1294
2579	1293
2580	1292
2581	1291
1997	1290
2583	1289
661	1288
745	1287
